C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280.son DE_EMBEDDED Lk=0.0 l=280.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res1_w1_l280
13.0846,-0.00191103
13.0848,-0.00191148
13.085,-0.00191192
13.0852,-0.00191236
13.0854,-0.00191281
13.0856,-0.00191326
13.0858,-0.0019137
13.086,-0.00191415
13.0862,-0.0019146
13.0864,-0.00191504
13.0866,-0.00191549
13.0868,-0.00191594
13.087,-0.00191639
13.0872,-0.00191684
13.0874,-0.00191729
13.0876,-0.00191774
13.0878,-0.00191819
13.088,-0.00191865
13.0882,-0.0019191
13.0884,-0.00191955
13.0886,-0.00192001
13.0888,-0.00192046
13.089,-0.00192092
13.0892,-0.00192137
13.0894,-0.00192183
13.0896,-0.00192229
13.0898,-0.00192274
13.09,-0.0019232
13.0902,-0.00192366
13.0904,-0.00192412
13.0906,-0.00192458
13.0908,-0.00192504
13.091,-0.0019255
13.0912,-0.00192596
13.0914,-0.00192643
13.0916,-0.00192689
13.0918,-0.00192735
13.092,-0.00192782
13.0922,-0.00192828
13.0924,-0.00192875
13.0926,-0.00192921
13.0928,-0.00192968
13.093,-0.00193015
13.0932,-0.00193061
13.0934,-0.00193108
13.0936,-0.00193155
13.0938,-0.00193202
13.094,-0.00193249
13.0942,-0.00193296
13.0944,-0.00193343
13.0946,-0.00193391
13.0948,-0.00193438
13.095,-0.00193485
13.0952,-0.00193532
13.0954,-0.0019358
13.0956,-0.00193627
13.0958,-0.00193675
13.096,-0.00193723
13.0962,-0.0019377
13.0964,-0.00193818
13.0966,-0.00193866
13.0968,-0.00193914
13.097,-0.00193962
13.0972,-0.0019401
13.0974,-0.00194058
13.0976,-0.00194106
13.0978,-0.00194154
13.098,-0.00194203
13.0982,-0.00194251
13.0984,-0.00194299
13.0986,-0.00194348
13.0988,-0.00194396
13.099,-0.00194445
13.0992,-0.00194494
13.0994,-0.00194542
13.0996,-0.00194591
13.0998,-0.0019464
13.1,-0.00194689
13.1002,-0.00194738
13.1004,-0.00194787
13.1006,-0.00194836
13.1008,-0.00194885
13.101,-0.00194935
13.1012,-0.00194984
13.1014,-0.00195033
13.1016,-0.00195083
13.1018,-0.00195132
13.102,-0.00195182
13.1022,-0.00195232
13.1024,-0.00195281
13.1026,-0.00195331
13.1028,-0.00195381
13.103,-0.00195431
13.1032,-0.00195481
13.1034,-0.00195531
13.1036,-0.00195581
13.1038,-0.00195631
13.104,-0.00195682
13.1042,-0.00195732
13.1044,-0.00195782
13.1046,-0.00195833
13.1048,-0.00195884
13.105,-0.00195934
13.1052,-0.00195985
13.1054,-0.00196036
13.1056,-0.00196087
13.1058,-0.00196138
13.106,-0.00196189
13.1062,-0.0019624
13.1064,-0.00196291
13.1066,-0.00196342
13.1068,-0.00196393
13.107,-0.00196445
13.1072,-0.00196496
13.1074,-0.00196548
13.1076,-0.00196599
