C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S11]-DARTWARS_TestChip_res2_w2_l320
8.8,-40.5834
8.82,-40.5946
8.84,-40.6059
8.86,-40.6173
8.88,-40.6289
8.9,-40.6406
8.92,-40.6524
8.94,-40.6644
8.96,-40.6765
8.98,-40.6888
9,-40.7012
9.02,-40.7137
9.04,-40.7264
9.06,-40.7392
9.08,-40.7522
9.1,-40.7654
9.12,-40.7786
9.14,-40.7921
9.16,-40.8056
9.18,-40.8194
9.2,-40.8332
9.22,-40.8473
9.24,-40.8614
9.26,-40.8758
9.28,-40.8903
9.3,-40.9049
9.32,-40.9197
9.34,-40.9347
9.36,-40.9498
9.38,-40.965
9.4,-40.9805
9.42,-40.996
9.44,-41.0118
9.46,-41.0277
9.48,-41.0438
9.5,-41.06
9.52,-41.0764
9.54,-41.0929
9.56,-41.1096
9.58,-41.1265
9.6,-41.1436
9.62,-41.1608
9.64,-41.1781
9.66,-41.1957
9.68,-41.2134
9.7,-41.2313
9.72,-41.2493
9.74,-41.2675
9.76,-41.2859
9.78,-41.3045
9.8,-41.3232
9.82,-41.3421
9.84,-41.3612
9.86,-41.3805
9.88,-41.3999
9.9,-41.4195
9.92,-41.4393
9.94,-41.4592
9.96,-41.4794
9.98,-41.4997
10,-41.5202
C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=6.0 l=320.0
FREQUENCY (GHz), DB[S11]-DARTWARS_TestChip_res2_w2_l320
4,-42.0389
4.02,-42.0059
4.04,-41.9732
4.06,-41.9408
4.08,-41.9086
4.1,-41.8768
4.12,-41.8452
4.14,-41.8139
4.16,-41.7828
4.18,-41.752
4.2,-41.7215
4.22,-41.6912
4.24,-41.6612
4.26,-41.6315
4.28,-41.602
4.3,-41.5728
4.32,-41.5438
4.34,-41.5151
4.36,-41.4866
4.38,-41.4584
4.4,-41.4304
4.42,-41.4027
4.44,-41.3752
4.46,-41.348
4.48,-41.321
4.5,-41.2942
4.52,-41.2677
4.54,-41.2415
4.56,-41.2154
4.58,-41.1896
4.6,-41.1641
4.62,-41.1388
4.64,-41.1137
4.66,-41.0888
4.68,-41.0642
4.7,-41.0398
4.72,-41.0156
4.74,-40.9917
4.76,-40.968
4.78,-40.9445
4.8,-40.9212
4.82,-40.8982
4.84,-40.8754
4.86,-40.8528
4.88,-40.8305
4.9,-40.8084
4.92,-40.7865
4.94,-40.7648
4.96,-40.7433
4.98,-40.7221
5,-40.7011
5.02,-40.6803
5.04,-40.6597
5.06,-40.6394
5.08,-40.6192
5.1,-40.5993
5.12,-40.5796
5.14,-40.5602
5.16,-40.5409
5.18,-40.5219
5.2,-40.5031
5.22,-40.4845
5.24,-40.4662
5.26,-40.4481
5.28,-40.4302
5.3,-40.4125
5.32,-40.395
5.34,-40.3778
5.36,-40.3608
5.38,-40.3441
5.4,-40.3275
5.42,-40.3112
5.44,-40.2952
5.46,-40.2793
5.48,-40.2637
5.5,-40.2484
5.52,-40.2333
5.54,-40.2184
5.56,-40.2038
5.58,-40.1895
5.6,-40.1753
5.62,-40.1615
5.64,-40.1479
5.66,-40.1346
5.68,-40.1215
5.7,-40.1088
5.72,-40.0963
5.74,-40.0841
5.76,-40.0722
5.78,-40.0606
5.8,-40.0493
5.82,-40.0383
5.84,-40.0277
5.86,-40.0174
5.88,-40.0074
5.9,-39.9978
5.92,-39.9886
5.94,-39.9798
5.96,-39.9713
5.98,-39.9634
6,-39.9558
6.02,-39.9487
6.04,-39.9422
6.06,-39.9361
6.08,-39.9306
6.1,-39.9257
6.12,-39.9215
6.14,-39.9179
6.16,-39.9151
6.18,-39.913
6.2,-39.9118
6.22,-39.9116
6.24,-39.9124
6.26,-39.9144
6.28,-39.9176
6.3,-39.9222
6.32,-39.9285
6.34,-39.9365
6.36,-39.9466
6.38,-39.9591
6.4,-39.9744
6.42,-39.9929
6.44,-40.0152
6.46,-40.0421
6.48,-40.0746
6.5,-40.1141
6.52,-40.1622
6.54,-40.2215
6.56,-40.2954
6.58,-40.3892
6.6,-40.5108
6.62,-40.6732
6.64,-40.8992
6.66,-41.2319
6.68,-41.7666
6.7,-42.761
6.72,-45.2663
6.74,-66.844
6.76,-19.3051
6.78,-34.0119
6.8,-36.1431
6.82,-37.0437
6.84,-37.5416
6.86,-37.8568
6.88,-38.0736
6.9,-38.2313
6.92,-38.3507
6.94,-38.444
6.96,-38.5186
6.98,-38.5793
7,-38.6297
7.02,-38.6719
7.04,-38.7077
7.06,-38.7383
7.08,-38.7648
7.1,-38.7878
7.12,-38.808
7.14,-38.8257
7.16,-38.8415
7.18,-38.8554
7.2,-38.8679
7.22,-38.8792
7.24,-38.8893
7.26,-38.8985
7.28,-38.9068
7.3,-38.9144
7.32,-38.9214
7.34,-38.9278
7.36,-38.9337
7.38,-38.9392
7.4,-38.9443
7.42,-38.9491
7.44,-38.9536
7.46,-38.9579
7.48,-38.9619
7.5,-38.9657
7.52,-38.9694
7.54,-38.9729
7.56,-38.9763
7.58,-38.9796
7.6,-38.9828
7.62,-38.9859
7.64,-38.989
7.66,-38.992
7.68,-38.995
7.7,-38.998
7.72,-39.0009
7.74,-39.0039
7.76,-39.0068
7.78,-39.0098
7.8,-39.0128
7.82,-39.0158
7.84,-39.0189
7.86,-39.0219
7.88,-39.0251
7.9,-39.0283
7.92,-39.0315
7.94,-39.0348
7.96,-39.0381
7.98,-39.0415
8,-39.045
8.02,-39.0486
8.04,-39.0522
8.06,-39.0559
8.08,-39.0597
8.1,-39.0636
8.12,-39.0675
8.14,-39.0716
8.16,-39.0757
8.18,-39.0799
8.2,-39.0842
8.22,-39.0886
8.24,-39.0932
8.26,-39.0978
8.28,-39.1025
8.3,-39.1073
8.32,-39.1122
8.34,-39.1172
8.36,-39.1223
8.38,-39.1276
8.4,-39.1329
8.42,-39.1384
8.44,-39.1439
8.46,-39.1496
8.48,-39.1554
8.5,-39.1613
8.52,-39.1673
8.54,-39.1734
8.56,-39.1797
8.58,-39.186
8.6,-39.1925
8.62,-39.1991
8.64,-39.2058
8.66,-39.2126
8.68,-39.2196
8.7,-39.2267
8.72,-39.2339
8.74,-39.2412
8.76,-39.2487
8.78,-39.2562
8.8,-39.2639
8.82,-39.2717
8.84,-39.2797
8.86,-39.2877
8.88,-39.2959
8.9,-39.3043
8.92,-39.3127
8.94,-39.3213
8.96,-39.33
8.98,-39.3388
9,-39.3478
9.02,-39.3569
9.04,-39.3661
9.06,-39.3755
9.08,-39.385
9.1,-39.3946
9.12,-39.4043
9.14,-39.4142
9.16,-39.4242
9.18,-39.4344
9.2,-39.4447
9.22,-39.4551
9.24,-39.4656
9.26,-39.4763
9.28,-39.4871
9.3,-39.4981
9.32,-39.5092
9.34,-39.5204
9.36,-39.5318
9.38,-39.5433
9.4,-39.5549
9.42,-39.5667
9.44,-39.5786
9.46,-39.5907
9.48,-39.6029
