C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=0.0 l=320.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res2_w2_l320
11.523,-0.00113661
11.524,-0.00113698
11.525,-0.00113735
11.526,-0.00113772
11.527,-0.00113809
11.528,-0.00113846
11.529,-0.00113884
11.53,-0.00113921
11.531,-0.00113958
11.532,-0.00113995
11.533,-0.00114032
11.534,-0.0011407
11.535,-0.00114107
11.536,-0.00114144
11.537,-0.00114182
11.538,-0.00114219
11.539,-0.00114256
11.54,-0.00114294
11.541,-0.00114331
11.542,-0.00114369
11.543,-0.00114406
11.544,-0.00114444
11.545,-0.00114481
11.546,-0.00114519
11.547,-0.00114557
11.548,-0.00114594
11.549,-0.00114632
11.55,-0.0011467
11.551,-0.00114708
11.552,-0.00114745
11.553,-0.00114783
11.554,-0.00114821
11.555,-0.00114859
11.556,-0.00114897
11.557,-0.00114935
11.558,-0.00114973
11.559,-0.00115011
11.56,-0.00115049
11.561,-0.00115087
11.562,-0.00115125
11.563,-0.00115163
11.564,-0.00115201
11.565,-0.0011524
11.566,-0.00115278
11.567,-0.00115316
11.568,-0.00115355
11.569,-0.00115393
11.57,-0.00115431
11.571,-0.0011547
11.572,-0.00115508
11.573,-0.00115547
11.574,-0.00115585
11.575,-0.00115624
11.576,-0.00115662
11.577,-0.00115701
11.578,-0.00115739
11.579,-0.00115778
11.58,-0.00115817
11.581,-0.00115856
11.582,-0.00115894
11.583,-0.00115933
11.584,-0.00115972
11.585,-0.00116011
11.586,-0.0011605
11.587,-0.00116089
11.588,-0.00116128
11.589,-0.00116167
11.59,-0.00116206
11.591,-0.00116245
11.592,-0.00116284
11.593,-0.00116323
11.594,-0.00116363
11.595,-0.00116402
11.596,-0.00116441
11.597,-0.0011648
11.598,-0.0011652
11.599,-0.00116559
11.6,-0.00116599
11.601,-0.00116638
11.602,-0.00116678
11.603,-0.00116717
11.604,-0.00116757
11.605,-0.00116796
11.606,-0.00116836
11.607,-0.00116876
11.608,-0.00116915
11.609,-0.00116955
11.61,-0.00116995
11.611,-0.00117035
11.612,-0.00117075
