C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280_param.son DE_EMBEDDED Lk=8.5 l=280.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res1_w1_l280_param
4.8,-0.000808566
4.802,-0.000808692
4.804,-0.000808811
4.806,-0.000808925
4.808,-0.000809032
4.81,-0.000809133
4.812,-0.000809228
4.814,-0.000809316
4.816,-0.000809397
4.818,-0.000809471
4.82,-0.000809538
4.822,-0.000809598
4.824,-0.000809651
4.826,-0.000809696
4.828,-0.000809733
4.83,-0.000809762
4.832,-0.000809784
4.834,-0.000809797
4.836,-0.000809801
4.838,-0.000809796
4.84,-0.000809783
4.842,-0.000809761
4.844,-0.000809729
4.846,-0.000809687
4.848,-0.000809636
4.85,-0.000809574
4.852,-0.000809502
4.854,-0.000809419
4.856,-0.000809325
4.858,-0.00080922
4.86,-0.000809103
4.862,-0.000808975
4.864,-0.000808834
4.866,-0.000808681
4.868,-0.000808514
4.87,-0.000808334
4.872,-0.000808141
4.874,-0.000807934
4.876,-0.000807712
4.878,-0.000807475
4.88,-0.000807222
4.882,-0.000806954
4.884,-0.00080667
4.886,-0.000806368
4.888,-0.000806049
4.89,-0.000805713
4.892,-0.000805358
4.894,-0.000804983
4.896,-0.000804589
4.898,-0.000804175
4.9,-0.000803739
4.902,-0.000803282
4.904,-0.000802803
4.906,-0.0008023
4.908,-0.000801773
4.91,-0.000801221
4.912,-0.000800643
4.914,-0.000800038
4.916,-0.000799406
4.918,-0.000798744
4.92,-0.000798053
4.922,-0.000797331
4.924,-0.000796577
4.926,-0.000795789
4.928,-0.000794967
4.93,-0.000794108
4.932,-0.000793212
4.934,-0.000792276
4.936,-0.000791299
4.938,-0.00079028
4.94,-0.000789217
4.942,-0.000788107
4.944,-0.000786949
4.946,-0.00078574
4.948,-0.000784478
4.95,-0.000783161
4.952,-0.000781786
4.954,-0.00078035
4.956,-0.000778851
4.958,-0.000777285
4.96,-0.000775648
4.962,-0.000773938
4.964,-0.00077215
4.966,-0.000770281
4.968,-0.000768325
4.97,-0.000766279
4.972,-0.000764137
4.974,-0.000761893
4.976,-0.000759542
4.978,-0.000757078
4.98,-0.000754493
4.982,-0.000751781
4.984,-0.000748932
4.986,-0.000745939
4.988,-0.000742793
4.99,-0.000739482
4.992,-0.000735995
4.994,-0.000732321
4.996,-0.000728445
4.998,-0.000724353
5,-0.000720029
5.002,-0.000715455
5.004,-0.000710611
5.006,-0.000705476
5.008,-0.000700023
5.01,-0.000694228
5.012,-0.000688059
5.014,-0.000681483
5.016,-0.000674461
5.018,-0.00066695
5.02,-0.000658903
5.022,-0.000650263
5.024,-0.000640969
5.026,-0.000630947
5.028,-0.000620116
5.03,-0.000608379
5.032,-0.000595626
5.034,-0.000581729
5.036,-0.000566535
5.038,-0.000549866
5.04,-0.000531512
5.042,-0.000511223
5.044,-0.000488697
5.046,-0.000463576
5.048,-0.000435428
5.05,-0.000403735
5.052,-0.000367882
5.054,-0.000327156
5.056,-0.000280775
5.058,-0.000228016
5.06,-0.000168596
5.062,-0.000103802
5.064,-3.9978e-05
5.066,-4.26699e-07
5.068,-7.36755e-05
5.07,-0.000676398
5.072,-0.0051066
5.074,-0.234502
5.076,-0.0391038
5.078,-0.0105509
5.08,-0.00586286
5.082,-0.00413959
5.084,-0.00327804
5.086,-0.0027702
5.088,-0.00243852
5.09,-0.00220623
5.092,-0.0020351
5.094,-0.00190413
5.096,-0.00180085
5.098,-0.00171745
5.1,-0.00164876
5.102,-0.00159127
5.104,-0.00154248
5.106,-0.00150059
5.108,-0.00146425
5.11,-0.00143245
5.112,-0.0014044
5.114,-0.00137949
5.116,-0.00135723
5.118,-0.00133723
5.12,-0.00131917
5.122,-0.00130279
5.124,-0.00128787
5.126,-0.00127423
5.128,-0.00126172
5.13,-0.0012502
5.132,-0.00123958
5.134,-0.00122975
5.136,-0.00122063
5.138,-0.00121216
5.14,-0.00120426
5.142,-0.00119689
5.144,-0.00118999
5.146,-0.00118354
5.148,-0.00117748
5.15,-0.00117178
5.152,-0.00116642
5.154,-0.00116137
5.156,-0.00115661
5.158,-0.00115211
5.16,-0.00114785
5.162,-0.00114382
5.164,-0.00114
5.166,-0.00113638
5.168,-0.00113295
5.17,-0.00112968
5.172,-0.00112658
5.174,-0.00112362
5.176,-0.00112081
5.178,-0.00111813
5.18,-0.00111558
5.182,-0.00111314
5.184,-0.00111082
5.186,-0.0011086
5.188,-0.00110648
5.19,-0.00110445
5.192,-0.00110252
5.194,-0.00110066
5.196,-0.00109889
5.198,-0.00109719
5.2,-0.00109557
5.202,-0.00109402
5.204,-0.00109253
5.206,-0.0010911
5.208,-0.00108973
5.21,-0.00108842
5.212,-0.00108716
5.214,-0.00108596
5.216,-0.0010848
5.218,-0.0010837
5.22,-0.00108264
5.222,-0.00108162
5.224,-0.00108064
5.226,-0.0010797
5.228,-0.00107881
5.23,-0.00107795
5.232,-0.00107712
5.234,-0.00107633
5.236,-0.00107557
5.238,-0.00107484
5.24,-0.00107415
5.242,-0.00107348
5.244,-0.00107284
5.246,-0.00107223
5.248,-0.00107164
5.25,-0.00107108
5.252,-0.00107055
5.254,-0.00107004
5.256,-0.00106955
5.258,-0.00106908
5.26,-0.00106863
5.262,-0.00106821
5.264,-0.0010678
5.266,-0.00106742
5.268,-0.00106705
5.27,-0.0010667
5.272,-0.00106637
5.274,-0.00106605
5.276,-0.00106575
5.278,-0.00106547
5.28,-0.0010652
5.282,-0.00106495
5.284,-0.00106472
5.286,-0.00106449
5.288,-0.00106428
5.29,-0.00106409
5.292,-0.0010639
5.294,-0.00106373
5.296,-0.00106357
5.298,-0.00106343
5.3,-0.00106329
5.302,-0.00106317
5.304,-0.00106306
5.306,-0.00106296
5.308,-0.00106287
5.31,-0.00106278
5.312,-0.00106271
5.314,-0.00106265
5.316,-0.0010626
5.318,-0.00106256
5.32,-0.00106252
5.322,-0.0010625
5.324,-0.00106248
5.326,-0.00106247
5.328,-0.00106247
5.33,-0.00106248
5.332,-0.00106249
5.334,-0.00106251
5.336,-0.00106254
5.338,-0.00106258
5.34,-0.00106262
5.342,-0.00106267
5.344,-0.00106273
5.346,-0.00106279
5.348,-0.00106286
5.35,-0.00106294
5.352,-0.00106302
5.354,-0.00106311
5.356,-0.0010632
5.358,-0.0010633
5.36,-0.00106341
5.362,-0.00106352
5.364,-0.00106364
5.366,-0.00106376
5.368,-0.00106388
5.37,-0.00106401
5.372,-0.00106415
5.374,-0.00106429
5.376,-0.00106444
5.378,-0.00106459
5.38,-0.00106474
5.382,-0.0010649
5.384,-0.00106506
5.386,-0.00106523
5.388,-0.0010654
5.39,-0.00106558
5.392,-0.00106576
5.394,-0.00106594
5.396,-0.00106613
5.398,-0.00106632
5.4,-0.00106651
