C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res4_w2_tunable_l90.son DE_EMBEDDED Lk=0.0 l=90.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res4_w2_tunable_l90
10.473,-0.130359
10.474,-0.130396
10.475,-0.130433
10.476,-0.130469
10.477,-0.130506
10.478,-0.130543
10.479,-0.130579
10.48,-0.130616
10.481,-0.130653
10.482,-0.13069
10.483,-0.130726
10.484,-0.130763
10.485,-0.1308
10.486,-0.130837
10.487,-0.130873
10.488,-0.13091
10.489,-0.130947
10.49,-0.130984
10.491,-0.131021
10.492,-0.131057
10.493,-0.131094
10.494,-0.131131
10.495,-0.131168
10.496,-0.131205
10.497,-0.131242
10.498,-0.131278
10.499,-0.131315
10.5,-0.131352
10.501,-0.131389
10.502,-0.131426
10.503,-0.131463
10.504,-0.1315
10.505,-0.131537
10.506,-0.131574
10.507,-0.131611
10.508,-0.131648
10.509,-0.131684
10.51,-0.131721
10.511,-0.131758
10.512,-0.131795
10.513,-0.131832
10.514,-0.131869
10.515,-0.131906
10.516,-0.131943
10.517,-0.13198
10.518,-0.132018
10.519,-0.132055
10.52,-0.132092
10.521,-0.132129
10.522,-0.132166
10.523,-0.132203
10.524,-0.13224
10.525,-0.132277
10.526,-0.132314
10.527,-0.132351
10.528,-0.132388
10.529,-0.132425
10.53,-0.132463
10.531,-0.1325
10.532,-0.132537
10.533,-0.132574
10.534,-0.132611
10.535,-0.132648
10.536,-0.132686
10.537,-0.132723
10.538,-0.13276
10.539,-0.132797
10.54,-0.132834
10.541,-0.132872
10.542,-0.132909
10.543,-0.132946
10.544,-0.132983
10.545,-0.133021
10.546,-0.133058
10.547,-0.133095
10.548,-0.133133
10.549,-0.13317
10.55,-0.133207
10.551,-0.133244
10.552,-0.133282
10.553,-0.133319
10.554,-0.133356
10.555,-0.133394
10.556,-0.133431
10.557,-0.133468
10.558,-0.133506
10.559,-0.133543
10.56,-0.133581
10.561,-0.133618
10.562,-0.133655
10.563,-0.133693
10.564,-0.13373
10.565,-0.133768
10.566,-0.133805
10.567,-0.133843
10.568,-0.13388
10.569,-0.133918
10.57,-0.133955
10.571,-0.133992
10.572,-0.13403
10.573,-0.134067
10.574,-0.134105
10.575,-0.134143
10.576,-0.13418
10.577,-0.134218
10.578,-0.134255
10.579,-0.134293
10.58,-0.13433
10.581,-0.134368
10.582,-0.134405
10.583,-0.134443
10.584,-0.134481
10.585,-0.134518
10.586,-0.134556
10.587,-0.134593
10.588,-0.134631
10.589,-0.134669
10.59,-0.134706
10.591,-0.134744
10.592,-0.134782
10.593,-0.134819
10.594,-0.134857
10.595,-0.134895
10.596,-0.134932
10.597,-0.13497
10.598,-0.135008
10.599,-0.135045
10.6,-0.135083
10.601,-0.135121
10.602,-0.135159
10.603,-0.135196
10.604,-0.135234
10.605,-0.135272
10.606,-0.13531
10.607,-0.135347
10.608,-0.135385
10.609,-0.135423
10.61,-0.135461
10.611,-0.135499
10.612,-0.135537
10.613,-0.135574
10.614,-0.135612
10.615,-0.13565
10.616,-0.135688
10.617,-0.135726
10.618,-0.135764
10.619,-0.135802
10.62,-0.135839
10.621,-0.135877
10.622,-0.135915
10.623,-0.135953
10.624,-0.135991
10.625,-0.136029
10.626,-0.136067
10.627,-0.136105
10.628,-0.136143
10.629,-0.136181
10.63,-0.136219
10.631,-0.136257
10.632,-0.136295
10.633,-0.136333
10.634,-0.136371
10.635,-0.136409
10.636,-0.136447
10.637,-0.136485
10.638,-0.136523
10.639,-0.136561
10.64,-0.136599
10.641,-0.136637
10.642,-0.136675
10.643,-0.136713
10.644,-0.136751
10.645,-0.13679
10.646,-0.136828
10.647,-0.136866
10.648,-0.136904
10.649,-0.136942
10.65,-0.13698
10.651,-0.137018
10.652,-0.137056
10.653,-0.137095
10.654,-0.137133
10.655,-0.137171
10.656,-0.137209
10.657,-0.137247
10.658,-0.137286
10.659,-0.137324
10.66,-0.137362
10.661,-0.1374
10.662,-0.137439
10.663,-0.137477
10.664,-0.137515
10.665,-0.137553
10.666,-0.137592
10.667,-0.13763
10.668,-0.137668
10.669,-0.137706
10.67,-0.137745
10.671,-0.137783
10.672,-0.137821
10.673,-0.13786
10.674,-0.137898
10.675,-0.137936
10.676,-0.137975
10.677,-0.138013
10.678,-0.138052
10.679,-0.13809
10.68,-0.138128
10.681,-0.138167
10.682,-0.138205
10.683,-0.138244
10.684,-0.138282
10.685,-0.13832
10.686,-0.138359
10.687,-0.138397
10.688,-0.138436
10.689,-0.138474
10.69,-0.138513
10.691,-0.138551
10.692,-0.13859
